FEN;d19;d20
1B1Q2k1/5p2/q5b1/8/1p6/8/1b3PP1/2R3K1 b - - 1 40;-405;-388
1B1Q2k1/5pb1/4b1pp/p3P3/P1q5/4R2P/5PP1/6K1 b - - 1 29;-315;-310
1B1Q2k1/5pbp/1N2p1p1/8/3p4/P2P2P1/5P1P/r4bK1 b - - 1 39;-949;-921
1B1Q2k1/5pp1/2b1q2p/6n1/8/P3P1PP/6B1/6K1 b - - 6 31;-79;-79
1B1Q2k1/5pp1/p1b5/7p/2q5/4KP2/PP4PP/8 b - - 1 36;-55;-55
1B1Q2k1/5pp1/p3pn1p/P7/4P1P1/2q2P1P/8/6K1 b - - 2 47;0;0
1B1Q2k1/5q1n/2p5/1pp4N/4P1p1/1P1PN2b/2P1KP2/8 b - - 2 41;-833;-827
1B1Q2k1/5rpp/p1q1pp2/8/n7/1N6/P4PPP/3R2K1 b - - 0 31;-299;-293
1B1Q2k1/6b1/p3q1p1/1pp2p1p/P1Np3P/1PnP2P1/2P2P2/6K1 b - - 1 40;58;66
1B1Q2k1/6bp/p2p2p1/3Pp2n/2b1Pp2/Pq3P2/1P3NPP/1KR5 b - - 2 27;-2145;-2909
1B1Q2k1/6p1/7p/8/5Pq1/8/6PK/8 b - - 2 48;-397;-396
1B1Q2k1/6p1/p1p1np1p/1p6/5P2/P6P/1P4PK/8 b - - 0 39;84;84
1B1Q2k1/6pp/1pq1p3/p7/8/P3P1P1/1b3P1P/6K1 b - - 1 30;0;0
1B1Q2k1/7p/2B1b3/p5pr/P1P2p2/1P4b1/6PN/R3R2K b - - 0 37;-3;-3
1B1Q2k1/7p/2p1p2q/p1P3p1/2b2p1r/8/P1P2PPP/4R1K1 b - - 2 30;-775;-808
1B1Q2k1/8/6q1/3p1b2/8/p1P4P/1p1N2P1/3R3K b - - 1 51;-1287;-1306
1B1Q2k1/8/8/5q2/2p1p3/1P3n1p/8/7K b - - 1 50;548;505
1B1Q2k1/p4p2/1p2p3/1q3n1p/8/7P/PP4PK/8 b - - 9 39;0;0
1B1Q2k1/p4ppp/8/1r6/2p5/q4p2/1P2N1PP/1K5R b - - 1 30;-527;-523
1B1Q2k1/pq4p1/1p4p1/2p2p2/P7/6PK/7P/8 b - - 5 46;-33;-43
1B1Q2nk/5qpp/p1p5/3b4/4p3/8/2P2PPP/3R2K1 w - - 6 27;192;186
1B1Q2nk/5qpp/p1p5/8/2b1p3/8/2P2PPP/3R2K1 b - - 5 27;-190;-196
1B1Q2nk/5qpp/p1p5/8/2b1p3/8/2P2PPP/5RK1 w - - 4 26;201;208
1B1Q2nr/qp3k2/pNp2p2/P1b3p1/2p1P2p/7P/1PP2PP1/R5K1 b - - 5 25;-818;-832
1B1Q2nr/qp3k2/pPp2p2/6p1/2p1P2p/7P/1PP2PP1/R5K1 b - - 0 26;-1447;-1500
1B1Q2nr/qp3k2/pbp2p2/P5p1/2p1P2p/7P/1PP2PP1/R5K1 w - - 0 25;842;850
1B1Q2rk/7p/4p3/4Pp2/8/3p2P1/5PKP/8 w - - 2 45;1329;1377
1B1Q3k/4n1p1/2p2q2/8/2P4p/1P5P/P4PBK/8 b - - 7 40;-1015;-1032
1B1Q3k/5p2/6p1/p3p3/4P2p/6PP/P2brn1K/8 b - - 0 49;0;0
1B1Q3k/5pp1/7p/4Pn2/5P2/5BPb/3RK2P/6q1 b - - 4 46;-265;-318
1B1Q3k/5qpp/p1p2n2/8/2b1p3/8/2P2PPP/5RK1 b - - 3 26;-190;-184
1B1Q3k/6rp/4p3/4Pp2/8/3p2P1/5PKP/8 b - - 1 45;-1536;-1779
1B1Q3k/8/p3p3/P3P1p1/4qnPp/5P2/1p5K/8 b - - 1 46;0;0
1B1Q3k/p5p1/1pr3qp/4Pp2/3Rpb2/2P4r/PP3PP1/3R2K1 b - - 1 32;0;0
1B1Q3k/pp4p1/5p1p/2P5/1P3Pb1/P3K3/7q/8 b - - 3 36;136;143
1B1Q4/1b2n1pk/2p1q2p/p4p1P/8/P2BP3/5PP1/6K1 w - - 1 30;212;210
1B1Q4/1b3ppk/2p1q1np/p7/7P/P2BP3/5PP1/6K1 b - - 0 29;-178;-171
1B1Q4/1b3ppk/2p1q1np/p7/8/P2BP2P/5PP1/6K1 w - - 6 28;184;178
1B1Q4/1b3ppk/2p3np/p7/4q3/P2BP2P/5PP1/6K1 b - - 5 28;-178;-184
1B1Q4/1b3ppk/2p3np/p7/4q3/P3P2P/4BPP1/6K1 w - - 4 27;178;167
1B1Q4/1b4pk/2p1q1np/p4p1P/8/P2BP3/5PP1/6K1 b - - 0 30;-230;-236
1B1Q4/1b4pk/2p1q1np/p4p2/7P/P2BP3/5PP1/6K1 w - f6 0 29;232;226
1B1Q4/1k1b4/2q5/2p4p/PpPpP3/3P1P1P/1P5K/8 b - - 0 58;-160;-176
1B1Q4/1k1b4/2q5/2p4p/ppPpP3/1P1P1P1P/1P5K/8 w - - 2 57;170;176
1B1Q4/1k1n4/1p4p1/5b2/P4P2/8/1K1b4/8 b - - 12 56;-393;-393
1B1Q4/1k3p2/7p/K3p1p1/3bP1P1/3b3P/1p6/8 b - - 0 68;4866;4866
1B1Q4/1k3p2/7p/K3p1p1/3bP1P1/3b3P/8/1q6 w - - 0 68;-4766;-4874
1B1Q4/1k6/1p6/8/2Pb3p/5P1K/6P1/8 b - - 2 54;-5;-5
1B1Q4/1k6/8/3R4/6K1/1P6/8/8 b - - 6 65;-2;-2
1B1Q4/1k6/8/R7/6K1/1P6/8/8 w - - 9 66;1;1
1B1Q4/1p1b2p1/p1k2p2/2n3r1/8/4K3/8/8 w - - 16 46;-109;-108
1B1Q4/1p1b2p1/p1k2p2/4n1r1/8/8/5K2/8 b - - 13 45;103;112
1B1Q4/1p1b2p1/p1k2p2/6r1/8/3n4/5K2/8 w - - 14 45;-110;-117
1B1Q4/1p1b2p1/p1k2p2/6r1/8/3nK3/8/8 b - - 15 46;115;115
1B1Q4/1p1r1pkp/2q3p1/5p2/5P2/7P/3b2P1/5R1K w - - 4 32;-241;-234
1B1Q4/1p2R3/p4k2/8/2pP1P2/2P5/P5PP/6K1 b - - 0 40;-2;-2
1B1Q4/1p2R3/p7/5k2/2pP1P2/2P5/P5PP/6K1 w - - 1 40;2;2
1B1Q4/1p2p2p/5kp1/8/4q3/8/P1r5/6K1 w - - 0 31;-4841;-5111
1B1Q4/1p2p2r/4kRp1/1pq3P1/1r1pp1bP/3n4/8/K6R b - - 5 45;11;9
1B1Q4/1p2pk1p/5Rp1/8/4q3/8/P1r5/6K1 b - - 0 31;2221;4837
1B1Q4/1p2pk1p/5np1/8/4q3/2r5/P1P5/5R1K w - - 8 29;-1178;-1185
1B1Q4/1p2pk1p/5np1/8/4q3/2r5/P1P5/5RK1 b - - 9 30;1220;1228
1B1Q4/1p2pk1p/5np1/8/4q3/8/P1r5/5RK1 w - - 0 30;-4830;-4841
1B1Q4/1p2pk1p/5np1/8/6q1/2r5/P1P5/5R1K b - - 7 29;1205;1229
1B1Q4/1p2pk1p/5np1/8/6q1/2r5/P1P5/5RK1 w - - 6 28;-12;-11
1B1Q4/1p2pk1p/5np1/8/8/2r3q1/P1P5/5R1K b - - 3 27;1168;1179
1B1Q4/1p2pk1p/5np1/8/8/2r4q/P1P5/5R1K w - - 4 27;-13;-13
1B1Q4/1p2pk1p/5np1/8/8/2r4q/P1P5/5RK1 b - - 5 28;13;12
1B1Q4/1p2qb2/2p2kp1/P3p2p/1P2P3/7P/5PP1/6K1 w - - 11 35;345;362
1B1Q4/1p2rpkp/2q3p1/5p2/5P2/7P/3b2P1/5R1K b - - 3 32;234;233
1B1Q4/1p3b2/2p1qkp1/P3p2p/1P2P3/7P/5PP1/6K1 b - - 10 35;-303;-308
1B1Q4/1p3ppk/p1p1r3/7p/8/1P2N2P/P1P2PPK/4q3 w - - 6 33;227;234
1B1Q4/1p5k/8/4p3/1P6/P5pp/4r3/3R2K1 b - - 0 48;-10;-10
1B1Q4/1p5r/4kpp1/1pq3P1/1r1pp1bP/3n4/8/K6R w - - 0 45;-9;-8
1B1Q4/1q3k1p/2B2pp1/1p4n1/8/PP5P/6PK/8 b - - 0 40;-66;-60
1B1Q4/1q3k1p/2b2pp1/1p4n1/8/PP3B1P/6PK/8 w - - 2 39;39;42
1B1Q4/1q3k1p/2b2pp1/1p5B/4n3/PP5P/6PK/8 w - - 0 38;25;29
1B1Q4/1q3k1p/2b2pp1/1p6/4n3/PP3B1P/6PK/8 b - - 1 39;-59;-56
1B1Q4/1q3kpp/2b2p2/1p5B/4n3/PP5P/6PK/8 b - - 5 38;-35;-52
1B1Q4/1q3kpp/2b2p2/1p6/4n3/PP5P/6PK/3B4 w - - 4 37;67;58
1B1Q4/1r1n3p/p1k1R3/2q5/P2p3P/2p3P1/5P1K/8 b - - 10 44;-529;-520
1B1Q4/1r1n3p/p3R3/2qk4/P2p3P/2p3P1/5P1K/8 w - - 11 44;517;523
1B1Q4/1r1n3p/p7/2R5/P1kp3P/2p3P1/5P1K/8 b - - 0 46;-525;-518
1B1Q4/1r1n3p/p7/2q1R3/P1kp3P/2p3P1/5P1K/8 w - - 13 45;473;482
1B1Q4/1r1n3p/p7/2qkR3/P2p3P/2p3P1/5P1K/8 b - - 12 45;-490;-500
1B1Q4/1r1nR2p/p1k5/2q5/P2p3P/2p3P1/5P1K/8 w - - 9 43;510;527
1B1Q4/1r1nR2p/pk6/2q5/P2p3P/2p3P1/5P1K/8 b - - 8 43;-485;-508
1B1Q4/1r3ppk/2p2n1p/8/4P2q/2Pb1P2/P3B3/2K1R3 w - - 2 30;-459;-484
1B1Q4/1r5p/p7/2n5/P1kp3P/2p3P1/5P1K/8 w - - 0 46;522;510
1B1Q4/2P1bkp1/7p/4p3/6P1/8/p3KPP1/8 b - - 0 50;-529;-529
1B1Q4/2R5/2k3p1/5p1p/1p6/1P6/2P1KPPP/8 b - - 1 47;-2;-2
1B1Q4/2R5/6p1/1k3p1p/1p6/1P6/2P1KPPP/8 w - - 2 47;2;2
1B1Q4/2r2pk1/p3p2p/Pb1nP1p1/8/7P/5PPK/8 b - - 15 42;-52;-76
1B1Q4/2r2ppk/p4n1p/Pp6/2r5/6P1/5P1P/6K1 b - - 7 41;229;248
1B1Q4/3b1k1q/7p/3p2p1/1PpP3P/5P2/P5PK/8 b - - 0 44;-203;-189
1B1Q4/3b1k2/7p/3p1qp1/1PpP3P/5P2/P5PK/8 w - - 1 44;214;208
1B1Q4/3b4/1kq5/2p4p/ppPpP3/1P1P1P1P/1P5K/8 b - - 1 57;-202;-208
1B1Q4/3n1pkp/2q3p1/p2pP3/3P4/2PB4/PrP3K1/8 w - - 4 34;-518;-524
1B1Q4/3n1pkp/2q3p1/p2pPB2/3P4/2P5/PrP3K1/8 b - - 5 35;971;941
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/2q5/PrP3K1/8 b - - 0 36;1515;1522
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/4q1K1/PrP5/8 w - - 7 39;-1598;-1775
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/4q3/PrP3K1/8 b - - 8 40;1529;1687
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/5K2/PrP5/3q4 w - - 3 37;-1076;-1228
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/5K2/PrPq4/8 b - - 2 37;1482;1720
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/6K1/PrP1q3/8 b - - 6 39;8;8
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/8/PrP1q1K1/8 w - - 5 38;-1611;-1791
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/8/PrP3K1/3q4 b - - 4 38;1308;1355
1B1Q4/3n1pkp/4P1p1/p2p1B2/3P4/8/PrPq2K1/8 w - - 1 36;-1492;-1512
1B1Q4/3n1pkp/4P3/p2p1p2/3P4/4q3/PrP3K1/8 w - - 0 40;-11;-10
1B1Q4/3n1pkp/6p1/p2pPB2/3P4/2q5/PrP3K1/8 w - - 0 35;-866;-898
1B1Q4/3p1k1p/2p1p2q/p1P3p1/2b2p1r/8/P1P2PPP/4R1K1 w - - 3 28;1130;1138
1B1Q4/4R3/2k3p1/5p1p/1p6/1P6/2P1KPPP/8 w - - 0 46;2;2
1B1Q4/4R3/2k3pp/5p2/1p6/1P6/2P1KPPP/8 b - - 0 46;-2;-2
1B1Q4/4bkp1/5pn1/2p5/2P1q2p/4N2P/5PP1/5K2 w - - 6 35;65;59
1B1Q4/4k2p/6p1/2p1Npb1/2P5/3B4/r7/5K2 b - - 0 36;120;122
1B1Q4/4kP2/8/6N1/K5P1/8/8/8 b - - 0 53;-4;-4
1B1Q4/4kp2/2r3p1/b3P3/1pbR4/2p3P1/P1R2P1P/6K1 b - - 0 36;-366;-373
1B1Q4/4n1pk/2p2q2/8/2P4p/1P5P/P4PBK/8 w - - 8 40;1077;1289
1B1Q4/4nk2/1pq1rp2/p5pp/2P4P/4P1P1/P4P2/2R3K1 w - - 0 40;129;135
1B1Q4/4nk2/1pq1rpp1/p6p/2P4P/4P1P1/P4P2/2R3K1 b - h3 0 40;-89;-105
1B1Q4/4nk2/1pq1rpp1/p6p/2P5/4P1P1/P4P1P/2R3K1 w - a6 0 39;102;92
1B1Q4/4r3/p7/6pp/P3q1k1/1P4P1/1KP5/8 b - - 1 60;121;127
1B1Q4/4rpk1/p3p2p/Pb1nP1p1/7P/8/5PPK/8 b - - 0 43;-67;-60
1B1Q4/4rpk1/p3p2p/Pb1nP1p1/8/7P/5PPK/8 w - - 16 42;80;86
1B1Q4/5K2/1k6/8/8/8/8/8 b - - 2 71;-6;-6
1B1Q4/5Pk1/8/2p5/2P1P3/8/4BK2/q7 b - - 0 75;-15;-15
1B1Q4/5bk1/6P1/2p5/2P1P3/8/4BK2/q7 w - - 1 74;17;16
1B1Q4/5k1p/2p1p2q/p1P3p1/2b2p1r/8/P1P2PPP/4R1K1 w - - 3 30;1125;1144
1B1Q4/5k1p/2q2pp1/1p4n1/8/PP5P/6PK/8 w - - 0 40;54;60
1B1Q4/5k2/3nn3/3Np2p/4Pp1P/5P1K/8/8 b - - 0 66;-376;-386
1B1Q4/5k2/6q1/3p1b2/8/p1P4P/1p1N2P1/3R3K w - - 2 51;1848;1841
1B1Q4/5k2/8/5q2/2P1p3/5n1p/8/7K b - - 0 51;554;554
1B1Q4/5k2/8/5q2/2P5/4pn1p/8/7K w - - 0 51;-560;-914
1B1Q4/5k2/8/5q2/2p1p3/1P3n1p/8/7K w - - 2 50;-577;-549
1B1Q4/5k2/8/p4p1p/P5pP/3RK1P1/6P1/8 w - - 1 46;2;2
1B1Q4/5k2/p1q5/1b1pPp1p/3Pp1p1/1P2P2P/6P1/6K1 w - - 0 42;382;388
1B1Q4/5k2/p1q5/1b1pPp1p/3Pp1p1/1P2P2P/6PK/8 b - - 1 43;-83;-85
1B1Q4/5k2/p1q5/1b1pPppp/3Pp3/1P2P2P/6P1/6K1 b - - 13 42;-193;-201
1B1Q4/5k2/p3q3/1b1pPp1p/3Pp1p1/1P2P2P/6PK/8 w - - 2 43;97;91
1B1Q4/5kp1/7p/4p3/6P1/8/4KPP1/q7 w - - 0 51;531;531
1B1Q4/5kp1/7p/4p3/6P1/8/p3KPP1/8 b - - 0 51;-531;-525
1B1Q4/5kp1/7p/8/5Pq1/8/6PK/8 w - - 3 48;398;414
1B1Q4/5kpp/1pq1p3/p7/8/P3P1P1/1b3P1P/6K1 w - - 2 30;0;0
1B1Q4/5p1k/2p3p1/7p/1Pqbp3/P6P/5PP1/6K1 w - - 12 34;15;23
1B1Q4/5p1k/6p1/p3p3/4P2p/6PP/P2brn1K/8 w - - 1 49;0;0
1B1Q4/5p1k/7p/6p1/6Pn/P4PKP/q7/8 w - - 5 45;0;0
1B1Q4/5p1k/7p/6p1/6Pn/P4PKP/q7/8 w - - 9 47;0;0
1B1Q4/5pbk/4b1pp/p3P3/P1q5/4R2P/5PP1/6K1 w - - 2 29;310;308
1B1Q4/5pbk/4b2p/6p1/4N2q/2P2P2/P4KP1/8 w - - 2 36;0;0
1B1Q4/5pbk/4b2p/6p1/4N3/2P2P2/P4KPq/8 b - - 1 36;0;0
1B1Q4/5pk1/5p2/7p/3p4/1P1q3P/P3n1PK/8 w - - 2 36;-98;-100
1B1Q4/5pk1/q5b1/8/1p6/8/1b3PP1/2R3K1 w - - 2 40;664;670
1B1Q4/5pkp/1nq3p1/p2pP3/3P4/2PB4/PrP3K1/8 b - - 3 34;511;505
1B1Q4/5pkp/1nq3p1/p2pP3/3PB3/2P5/PrP3K1/8 w - - 2 33;-151;-154
1B1Q4/5pkp/4q1p1/p1p1N3/4P3/6P1/p4P1P/b5K1 w - - 6 27;-93;-84
1B1Q4/5ppk/2b1q2p/6n1/8/P3P1PP/6B1/6K1 w - - 7 31;76;75
1B1Q4/5ppk/7p/4Pn2/5P2/3K1BPb/3R3P/6q1 b - - 6 47;-173;-162
1B1Q4/5ppk/7p/4Pn2/5P2/3KqBPb/3R3P/8 w - - 7 47;127;128
1B1Q4/5ppk/7p/4Pn2/5P2/4qBPb/2KR3P/8 b - - 8 48;-141;-151
1B1Q4/5ppk/7p/4Pn2/5P2/5BPb/3RK2P/6q1 w - - 5 46;312;303
1B1Q4/5ppk/7p/4Pn2/5P2/5qPb/2KR3P/8 w - - 0 48;163;151
1B1Q4/5ppk/p1b5/7p/2q5/4KP2/PP4PP/8 w - - 2 36;55;53
1B1Q4/5ppk/p3pn1p/P7/4P1P1/2q2P1P/6K1/8 b - - 4 48;0;0
1B1Q4/5ppk/p3pn1p/P7/4P1P1/2q2P1P/8/6K1 w - - 3 47;0;0
1B1Q4/5ppk/p3pn1p/P7/4P1P1/5P1P/1q4K1/8 w - - 5 48;0;0
1B1Q4/5ppk/p3pn1p/P7/4P1P1/5P1P/1q6/6K1 b - - 6 49;191;203
1B1Q4/5ppk/p3pn1p/P7/4P1P1/5P1P/4q3/6K1 w - - 7 49;-188;-195
1B1Q4/5qpk/p1p5/P3n3/K6p/1PP5/8/8 b - - 0 48;103;100
1B1Q4/6b1/4q1k1/5pp1/7p/7P/6PK/8 w - - 14 56;-126;-132
1B1Q4/6b1/6k1/5pp1/4q2p/7P/6PK/8 b - - 13 56;127;124
1B1Q4/6b1/P4n1p/2pb1k2/6r1/8/5K2/8 b - - 5 56;381;382
1B1Q4/6b1/P4n1p/2pb1k2/r7/8/5K2/8 w - - 6 56;-402;-409
1B1Q4/6bk/4q1p1/1pp2p1p/2Np3P/1PnP2P1/2P2P2/6K1 w - - 0 41;0;0
1B1Q4/6bk/4q1p1/1pp2p1p/3p3P/1PnP2P1/1NP2P2/6K1 b - - 1 42;468;475
1B1Q4/6bk/6p1/1pp2p1p/3p3P/1P1P2P1/1NP1nPK1/4q3 w - - 4 43;-510;-467
1B1Q4/6bk/6p1/1pp2p1p/3p3P/1PnP2P1/1NP2P2/4q1K1 w - - 2 42;-483;-493
1B1Q4/6bk/6p1/1pp2p1p/3p3P/1PnP2P1/1NP2PK1/4q3 b - - 3 43;446;452
1B1Q4/6bk/p3q1p1/1Pp2p1p/2Np3P/1PnP2P1/2P2P2/6K1 b - - 0 41;635;631
1B1Q4/6bk/p3q1p1/1pp2p1p/P1Np3P/1PnP2P1/2P2P2/6K1 w - - 2 40;-103;-95
1B1Q4/6pk/p1p2q2/P3n3/K6p/1PP5/8/8 w - - 1 48;-46;-6
1B1Q4/6pk/p3p2p/2b2p1P/8/8/qP3PPK/8 w - - 2 31;0;0
1B1Q4/7k/p3p3/P3P1p1/4qnPp/5P2/1p5K/8 w - - 2 46;0;0
1B1Q4/7p/3n4/p2kp1P1/5qP1/6KP/8/8 w - - 2 46;0;0
1B1Q4/7p/3n4/p2kp1P1/q5P1/6KP/8/8 b - - 1 46;0;0
1B1Q4/8/1b6/3R2p1/6k1/7p/2K5/8 b - - 0 54;-4426;-4426
1B1Q4/8/4k3/p4p1p/P5pP/3RK1P1/6P1/8 b - - 0 46;-3;-3
1B1Q4/8/6k1/8/2p4p/2P1R1PP/6K1/8 b - - 0 55;-3;-3
1B1Q4/8/6k1/8/2p5/2P1R1pP/6K1/8 w - - 0 55;3;3
1B1Q4/8/6pk/p3pn2/1p1q3p/1Pp4P/P1P3P1/6K1 w - - 8 47;-188;-160
1B1Q4/8/6pk/p3pn2/1p2q2p/1Pp4P/P1P3PK/8 b - - 5 46;231;239
1B1Q4/8/6pk/p3pn2/1p3q1p/1Pp4P/P1P3P1/6K1 b - - 7 47;224;223
1B1Q4/8/6pk/p3pn2/1p3q1p/1Pp4P/P1P3PK/8 w - - 6 46;-241;-206
1B1Q4/8/8/8/3nq2p/2p4P/3k2PK/8 b - - 5 61;805;818
1B1Q4/8/8/8/3nq2p/7P/2pk2PK/8 w - - 0 61;-471;-805
1B1Q4/8/k7/3R4/6K1/1P6/8/8 w - - 7 65;2;2
1B1Q4/8/k7/R7/6K1/1P6/8/8 b - - 8 66;-1;-1
1B1Q4/8/kp6/8/2Pb3p/5P1K/6P1/8 w - - 3 54;2;2
1B1Q4/8/p3r3/6pp/P3q1k1/1P4P1/1KP5/8 w - - 2 60;-139;-139
1B1Q4/kb6/4p3/1p1pP3/p1pP4/Pnq2BK1/8/8 b - - 3 62;0;0
1B1Q4/kb6/4p3/1p1pP3/p1pP4/Pnq2BK1/8/8 b - - 7 64;0;0
1B1Q4/kp6/p3p3/2p5/1b3P2/1P1P4/P1P3qP/1K3R2 b - - 2 38;-2;-2
1B1Q4/kp6/p3p3/n2pPb2/5P2/2P5/1q6/2R1KB2 b - - 14 41;-2;-2
1B1Q4/kp6/p7/3p3p/3P4/q2p4/8/4K3 b - - 3 65;-2;-2
1B1Q4/n4kP1/5p2/1p3r2/2pP4/2P3P1/7P/6K1 b - - 0 37;-1342;-1399
1B1Q4/p2b4/kp6/2pP3q/8/6K1/6P1/8 b - - 4 41;198;205
1B1Q4/p2b4/kp6/2pP3q/8/8/6PK/8 w - - 3 40;-195;-196
1B1Q4/p2b4/kp6/2pP4/6q1/8/6PK/8 b - - 2 40;206;210
1B1Q4/p2b4/kp6/2pq4/8/6K1/6P1/8 w - - 0 41;-259;-210
1B1Q4/p3nk2/1pq1rpp1/7p/2P5/4P1P1/P4P1P/2R3K1 b - - 4 39;-73;-52
1B1Q4/p4k2/8/8/2p3p1/8/Pb2p3/2KQ1q2 w - - 0 36;-496;-502
1B1Q4/p4k2/8/8/2p3p1/8/PbK1p3/3Q1q2 b - - 1 37;512;524
1B1Q4/p4k2/8/8/2p3p1/8/PbK5/3q1q2 w - - 0 37;-503;-509
1B1Q4/p4kb1/8/8/2p3p1/8/PP2p3/2KQ1q2 b - - 0 36;1350;1356
1B1Q4/p4p1k/1p4p1/1P5p/P1q4P/6P1/5K2/8 b - - 4 43;-178;-186
1B1Q4/p4p1k/1p4p1/1P5p/P1q4P/6P1/8/5K2 w - - 3 42;177;170
1B1Q4/p4p1k/1p4p1/1P5p/P6P/1q2K1P1/8/8 w - - 7 44;175;181
1B1Q4/p4p1k/1p4p1/1P5p/P6P/1q4P1/6K1/8 b - - 0 41;-167;-173
1B1Q4/p4p1k/1p4p1/1P5p/P6P/4K1P1/q7/8 b - - 6 44;-167;-174
1B1Q4/p4p1k/1p4p1/1P5p/P6P/6P1/2q3K1/8 w - - 1 41;173;167
1B1Q4/p4p1k/1p4p1/1P5p/P6P/6P1/2q5/5K2 b - - 2 42;-181;-168
1B1Q4/p4p1k/1p4p1/1P5p/P6P/6P1/q4K2/8 w - - 5 43;177;178
1B1Q4/p4r2/1p1p4/2k2p1p/2n5/2P5/5PPP/6K1 b - - 9 42;-599;-614
1B1Q4/p4r2/3p4/1pk2p1p/2n5/2P5/5PPP/6K1 w - - 0 42;597;644
1B1Q4/p4rk1/1p2p3/1P6/4q1p1/5nK1/2P4P/5R2 b - - 7 65;1363;1492
1B1Q4/p4rk1/1p6/1P2p3/4q1p1/5nK1/2P4P/5R2 w - - 0 65;-1485;-1901
1B1Q4/p5P1/2q1b3/2p2p2/knPp3p/3P3P/6PK/1R6 w - - 0 54;1880;2025
1B1Q4/p5P1/2q1b3/k1p2p2/PnPp3p/3P3P/6PK/1R6 b - - 4 54;-1802;-1815
1B1Q4/p5pk/1pr3qp/4Pp2/3Rpb2/2P4r/PP3PP1/3R2K1 w - - 2 32;0;0
1B1Q4/p6k/1r5p/b3p3/8/3PK3/5PPP/2R5 b - - 0 35;-8;-8
1B1Q4/p6k/6rp/b3p3/8/3PK3/5PPP/2R5 w - - 1 35;7;7
1B1Q4/p6p/2q2pk1/6p1/6P1/2p4P/3b1P1K/8 b - - 3 58;617;679
1B1Q4/p6p/4qpk1/6p1/6P1/2p4P/3b1P1K/8 w - - 4 58;-318;-313
1B1Q4/p7/kp2qn1p/5p2/P1b4P/2P2P2/6PK/8 b - - 8 51;255;263
1B1Q4/p7/kpq2n1p/5p2/P1b4P/2P2P2/6PK/8 w - - 9 51;-220;-218
1B1Q4/pp4pk/5p1p/2P5/1P3Pb1/P3K3/7q/8 w - - 4 36;-181;-191
1B1Q4/pq4pk/1p4p1/2p2p2/P7/6PK/7P/8 w - - 6 46;29;29
1B1QR3/5ppk/5bp1/pP6/2p3P1/8/1r3P2/3K4 b - - 0 45;-133;-122
1B1QR3/p4k2/8/2pP1rbp/2P4p/8/8/7K b - - 0 54;-165;-188
1B1QRk2/5pp1/5q1p/1b6/8/7P/5PPK/8 b - - 0 35;-400;-396
1B1Qb1k1/rp3p2/pN2p1np/6p1/4q3/8/P4PPP/3R2K1 w - - 0 26;869;885
1B1Qb1k1/rp3p2/pNq1p1np/6p1/4P3/8/P4PPP/3R2K1 b - - 5 26;-380;-363
1B1Qn1k1/1q3ppp/2r5/8/4P1P1/P4P2/1PP4P/2KR3R w - - 2 26;1;1
1B1Qn1k1/6bp/p2p4/2pPp3/q1P1Pp1n/5PpP/P2K2P1/4NB2 b - - 26 47;46;49
1B1Qn1k1/7p/p2p1b2/2pPp3/q1P1Pp1n/5PpP/P2K2P1/4NB2 w - - 27 47;-37;-25
1B1Qn1k1/p4qp1/1pb3np/2p1pp2/2P5/PP2PP1N/4B1PP/6K1 w - - 2 28;117;125
1B1Qn1k1/p4qp1/1pb3np/2p1pp2/2P5/PP2PP1N/4B1PP/6K1 w - - 6 30;117;125
1B1Qn1k1/pb3qp1/1p4np/2p1pp2/2P5/PP2PP1N/4B1PP/6K1 b - - 1 28;-72;-67
1B1Qn1k1/pb3qp1/1p4np/2p1pp2/2P5/PP2PP1N/4B1PP/6K1 b - - 5 30;-72;-67
1B1Qn3/1p5k/1P6/1R1P4/5p1r/4q1p1/3K1b2/8 w - - 4 60;-5918;-11
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5Pp1/6K1/6bq w - - 0 57;-4;-4
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5Pp1/6Kp/6b1 b - - 0 57;5;5
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5Pp1/8/5Kbq b - - 1 58;4;4
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5qp1/3K1b2/8 b - - 3 60;6772;12
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5qp1/5b2/4K3 w - - 2 59;-5255;-6035
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5qp1/8/4K1b1 b - - 1 59;6;6
1B1Qn3/1p5k/1P6/1R1P4/5p1r/5qp1/8/5Kb1 w - - 0 58;-6;-6
1B1Qnb2/1K3bk1/3p2p1/3Pp1P1/4Pp2/5P2/8/8 b - - 16 52;-467;-467
1B1Qnb2/5bk1/1K1p2p1/3Pp1P1/4Pp2/5P2/8/8 w - - 15 51;520;498
